"title","feedUrl","iTunesUrl"
"#futucast","http://feeds.soundcloud.com/users/soundcloud:users:314264009/sounds.rss",
"#Porvoopodi","http://feeds.soundcloud.com/users/soundcloud:users:406904712/sounds.rss",
"#rahapodi","http://feeds.soundcloud.com/users/soundcloud:users:156278369/sounds.rss","https://itunes.apple.com/fi/podcast/rahapodi/id1039270351?l=fi&mt=2"
"#Teerenpelit","http://feeds.soundcloud.com/users/soundcloud:users:348855806/sounds.rss",
"#vapaaehtoinen100","http://cms.podcastit.me/podcast/vapaaehtoinen100/feed/","https://itunes.apple.com/fi/podcast/vapaaehtoinen100/id1321970332?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D173"
"#Yrittäjyys360","http://feeds.soundcloud.com/users/soundcloud:users:391128240/sounds.rss","https://itunes.apple.com/fi/podcast/yritt%C3%A4jyys360/id1343094941?mt=2&i=1000401204583"
"#Älyradio – Salesforce podcast","http://alyradio.podbean.com/feed/",
"12 diktaattoria","https://feeds.yle.fi/areena/v1/series/1-3948085.rss?lang=fi&downloadable=true","https://itunes.apple.com/us/podcast/12-diktaattoria/id1200715561?mt=2"
"@mhonkasalo NBA Podcast","http://feeds.soundcloud.com/users/soundcloud:users:37300831/sounds.rss","https://itunes.apple.com/fi/podcast/mhonkasalo-nba-podcast/id1063033193?l=fi&mt=2"
"@PanuMusakka","http://feeds.soundcloud.com/users/soundcloud:users:223934269/sounds.rss",
"Aatoksia ohjelmistobisneksestä","https://feeds.buzzsprout.com/216615.rss",
"Aavetaajuus","http://aavetaajuus.fi/blog/kategoria/kaikki-podcastit/podcastit/feed/podcast/",
"Afterwork","https://rss.acast.com/afterwork",
"AHAA PODCAST","http://ahaapodcast.podbean.com/feed/",
"Ajatuksia kaupungista","http://feeds.soundcloud.com/users/soundcloud:users:433767183/sounds.rss",
"Ajatuspaja Libera","http://feeds.soundcloud.com/users/soundcloud:users:209250618/sounds.rss","https://itunes.apple.com/fi/podcast/yleinen-tasapaino/id1093784285?l=fi&mt=2"
"Akonniemen avara luonto","https://rss.simplecast.com/podcasts/3458/rss","https://itunes.apple.com/fi/podcast/akonniemen-avara-luonto/id1281251935?mt=2"
"Ali Show","https://feeds.yle.fi/areena/v1/series/1-1926129.rss","https://itunes.apple.com/us/podcast/ali-show/id893473335"
"Alivakuutussihteeri","http://feeds.soundcloud.com/users/soundcloud:users:397085319/sounds.rss",
